id,ident,name,type,latitude_deg,longitude_deg,iso_country,country_name,iso_region,iata_code
3224,HLLM,Mitiga International Airport,large_airport,32.89177,13.287878,LY,Libya,LY-TB,MJI
3225,HLLQ,Al Abraq International Airport,large_airport,32.789036,21.954864,LY,Libya,LY-JA,LAQ
3226,HLLS,Sabha Airport,medium_airport,26.992452,14.466162,LY,Libya,LY-SB,SEB
3228,HLMB,Marsa al Brega Airport,medium_airport,30.378099,19.576401,LY,Libya,LY-WA,LMQ
3232,HLTD,Ghadames Airport,medium_airport,30.145484,9.702095,LY,Libya,LY-NL,LTD
3236,HRYG,Gisenyi Airport,medium_airport,-1.6771999597549438,29.258899688720703,RW,Rwanda,RW-04,GYI
3237,HRYR,Kigali International Airport,large_airport,-1.96863,30.1395,RW,Rwanda,RW-01,KGL
3238,HRZA,Kamembe Airport,medium_airport,-2.462239980697632,28.907899856567383,RW,Rwanda,RW-04,KME
3239,HSDN,Dongola Airport,medium_airport,19.153666,30.430069,SD,Sudan,SD-01,DOG
3241,HSFS,El Fasher Airport,medium_airport,13.61489963531494,25.32460021972656,SD,Sudan,SD-02,ELF
3242,HSKA,Kassala Airport,medium_airport,15.387499809265137,36.328800201416016,SD,Sudan,SD-05,KSL
3244,HSNN,Nyala Airport,medium_airport,12.0535,24.9562,SD,Sudan,SD-11,UYL
3245,HSOB,El-Obeid Airport,medium_airport,13.1532,30.2327,SD,Sudan,SD-09,EBD
3246,HSPN,Port Sudan New International Airport,large_airport,19.434558,37.234125,SD,Sudan,SD-26,PZU
3247,HJJJ,Juba International Airport,large_airport,4.87201,31.601101,SS,South Sudan,SS-EC,JUB
3248,HSSM,Malakal International Airport,medium_airport,9.558739,31.651937,SS,South Sudan,SS-NU,MAK
3249,HSSK,Khartoum International Airport,large_airport,15.5895,32.5532,SD,Sudan,SD-03,KRT
3250,HTAR,Arusha Airport,medium_airport,-3.3677899837493896,36.63330078125,TZ,"Tanzania, United Republic of",TZ-01,ARK
3251,HTDA,Julius Nyerere International Airport,large_airport,-6.873499,39.207288,TZ,"Tanzania, United Republic of",TZ-02,DAR
3252,HTDO,Dodoma Airport,medium_airport,-6.17044,35.752602,TZ,"Tanzania, United Republic of",TZ-03,DOD
3253,HTIR,Iringa Airport,medium_airport,-7.66863,35.752102,TZ,"Tanzania, United Republic of",TZ-04,IRI
3254,HTKJ,Kilimanjaro International Airport,large_airport,-3.427049,37.07353,TZ,"Tanzania, United Republic of",TZ-01,JRO
3255,HTLM,Lake Manyara Airport,medium_airport,-3.37631,35.818298,TZ,"Tanzania, United Republic of",TZ-26,LKY
3256,HTMT,Mtwara Airport,medium_airport,-10.336204,40.181997,TZ,"Tanzania, United Republic of",TZ-17,MYW
3257,HTMW,Mwanza International Airport,large_airport,-2.446563,32.936049,TZ,"Tanzania, United Republic of",TZ-18,MWZ
3258,HTPE,Pemba Airport,medium_airport,-5.25726,39.811401,TZ,"Tanzania, United Republic of",TZ-25,PMA
3259,HTTG,Tanga Airport,medium_airport,-5.09236,39.071201,TZ,"Tanzania, United Republic of",TZ-25,TGT
3260,HTZA,Abeid Amani Karume International Airport,large_airport,-6.22202,39.224899,TZ,"Tanzania, United Republic of",TZ-07,ZNZ
3263,HUEN,Entebbe International Airport,large_airport,0.042386,32.443501,UG,Uganda,UG-C,EBB
3264,HUGU,Gulu Airport,medium_airport,2.8055601119995117,32.27180099487305,UG,Uganda,UG-N,ULU
3265,HUSO,Soroti Airport,medium_airport,1.7276899814605713,33.622798919677734,UG,Uganda,UG-E,SRT
3288,VA1G,"Rewa Airport, Chorhata, REWA",medium_airport,24.503401,81.220299,IN,India,IN-MP,REW
3299,VA2C,Gondia Airport,medium_airport,21.526817,80.290347,IN,India,IN-MM,GDB
3301,VAOZ,Nashik International Airport,large_airport,20.119101,73.912903,IN,India,IN-MM,ISK
3319,VEDH,Darbhanga Airport,medium_airport,26.192801,85.916901,IN,India,IN-BR,DBR
3341,VALT,Murod Kond Airport,medium_airport,18.411501,76.464699,IN,India,IN-MM,LTU
3356,KABE,Lehigh Valley International Airport,medium_airport,40.651773,-75.442797,US,United States of America,US-PA,ABE
3357,KABI,Abilene Regional Airport,medium_airport,32.4113006592,-99.6819000244,US,United States of America,US-TX,ABI
3358,KABR,Aberdeen Regional Airport,medium_airport,45.449100494384766,-98.42179870605467,US,United States of America,US-SD,ABR
3359,KABY,Southwest Georgia Regional Airport,medium_airport,31.532946,-84.196215,US,United States of America,US-GA,ABY
3360,KACK,Nantucket Memorial Airport,medium_airport,41.25310135,-70.06020355,US,United States of America,US-MA,ACK
3361,KACT,Waco Regional Airport,medium_airport,31.611299514770508,-97.23049926757812,US,United States of America,US-TX,ACT
3362,KACV,California Redwood Coast-Humboldt County Airport,medium_airport,40.978101,-124.109,US,United States of America,US-CA,ACV
