date,dep_code,dep_name,dep_lat,dep_lon,dest_code,dest_name,dest_lat,dest_lon
2026-06-03 11:50:10,KIX,Kansai International Airport,34.427299,135.244003,HNL,Daniel K. Inouye International Airport,21.318387,-157.92567
2026-06-03 11:56:38,KIX,Kansai International Airport,34.427299,135.244003,HNL,Daniel K. Inouye International Airport,21.318387,-157.92567
2026-06-03 11:57:02,HNL,Daniel K. Inouye International Airport,21.318387,-157.92567,JFK,John F. Kennedy International Airport,40.639447,-73.779317
